Video,Video title,Video publish time,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
qxUYmcSMQB4,"Interview with the 2018 FNIH Lurie Prize in Biomedical Sciences Winner Zhijian ‘James’ Chen, PhD","Jun 17, 2019",19,0.7878,0,833,1.32
4AWR0BKDJCE,"FRACKING - the quest for energy independence - Gerald,Trevor, Jordan  and John","Nov 19, 2013",18,0.2679,0,862,1.04
_a8CWTmPvko,STEM Ask & Learn April 2019,"May 8, 2019",18,0.1104,0,432,1.62
u8LBBRmGVFM,The Case for Including Every(Body),"Dec 28, 2019",18,0.7627,0,579,1.55
RpHHJP8MLYI,Should America Launch A Major Push Into Solar Energy? - Phillip Dowd,"Feb 19, 2015",17,0.826,0,435,0.69
_fcQW3nRfvg,Women in Science Symposium 2012: Lab Coats to Boardrooms 05/12/12,"Aug 13, 2012",17,1.5626,0,1389,0.58
Ch6k2wEOjHk,C2ST 2017 Highlights,"May 15, 2017",16,0.2836,0,190,1.05
Zc9yYyrv4Fo,STEM Ask & Learn February 2020,"Mar 9, 2020",16,0.3315,0,473,0.63
cpcq9eM2NT0,The Science of Star Wars Q&A,"May 5, 2019",16,0.6035,0,604,0.66
Cdwwy6W3tIA,Ocean's Health: An Ecosystem on the Brink 4/19/12 - Allen LaPointe,"May 9, 2012",15,1.1938,0,366,1.09
YvRxX0NSqkg,Tesla Highlights,"May 2, 2012",15,0.1764,0,1100,0.27
ZF1N78wGbro,2014 Women in STEM: Connect Highlight  - Onome Alabi,"Dec 10, 2014",14,0.37,0,505,0.79
n_WTGMnGv_o,Decoding the New Science + Math Standards Highlight - Kurt Poppenhouse,"Nov 19, 2014",14,0.1171,0,429,0
ppisJdNwnK0,"Program Q&A, Alvin H. Baum Family Fund Environmental Series: Does Recycling Still Matter?","Jun 17, 2019",14,2.126,0,853,0.82
OOItgGX78P0,"Mindfulness, Meditation, and Yoga Highlights","Mar 5, 2019",13,0.3925,0,573,0.35
m8rYo4O4P-0,Sustainable Energy: Fact or Fiction highlights - 1/31/2012 By George Crabtree,"May 31, 2012",13,0.1705,0,1198,0.5
rq4yaa-ro9Q,2014 Women in STEM: Connect Highlight  - Ann Schlenker,"Dec 10, 2014",13,0.1755,0,517,1.35
O0C07tzlVyM,Sustainable Energy: Fact or Fiction- George Crabtree,"Jun 11, 2012",12,2.1769,0,364,1.37
OG7JocUMkgM,Chicago Council on Science and Technology 2014 Highlights,"Jun 12, 2014",12,0.2396,0,242,3.31
OhApPVO6wOY,Perceptions and Public Understanding of COVID-19 Highlights (SFTFL),"Aug 4, 2020",12,0.5043,0,361,1.39
dEg2qE2_fsc,Nuclear Non-Proliferation - Robert Gallucci,"May 2, 2012",12,2.2838,0,293,2.39
wNoBixztdhQ,Interviews: The Case for Including Every(Body),"Dec 28, 2019",12,0.4674,0,446,1.57
3q0qw-sZamk,The Moon,"Oct 3, 2012",11,0.8134,0,212,3.3
ASD81xd0J1Y,Women in Science Symposium 2012: Big Ideas Big Impact - Opening Keynote Dr. Alice Huang 05/11/12,"Aug 10, 2012",11,1.33,0,368,1.63
yxCElWgSU0c,"Landscape of Techpark Innovation Highlights with Kapila, David, Steve, John and Jim","Nov 18, 2013",11,0.181,0,409,0.98
3BOfwVzcdbY,Fighting COVID-19 Highlights (SFTFL),"Aug 7, 2020",10,0.2089,0,400,1.75
DnAs5Ow7SZA,Women in Science Symposium: Big Ideas Big Impact 2012 Highlights,"Nov 18, 2013",10,0.1449,0,346,0.58
JVkEnJUAdTA,Hubble's Story 10-28-2009 - John Grunsfeld,"Oct 1, 2012",10,0.1385,0,261,1.92
XeRMT_5mpis,"C2ST: Future Fuels 2010 - Seth Synder,  Marshall","Nov 7, 2013",10,0.4777,0,315,1.59
ZFiDJwrAdLQ,2014 Women in STEM: Connect Highlight - Cristal Thomas,"Dec 10, 2014",10,0.0993,0,583,0.34
jLrG1oIq8zg,"How Sexual Harassment Culture Infects Academia, Questions & Answers","Mar 27, 2019",10,0.3508,0,1186,0.51
lfLLxF5h7OE,Street Corner Science: Ask a Scientists at the MCA,"Dec 9, 2011",9,0.1087,0,1077,0.28
qLw8whcsCfU,C2ST 2016 Highlight,"Apr 29, 2016",9,0.1206,0,137,1.46
vMLFe_45FfM,Eclipse Chat with Physicist Bill Higgins,"Aug 23, 2017",9,0.2396,0,427,0.47
GX0Bkocmopg,"Bionics, Robotics, and the Future of Rehabilitation from the Shirley Ryan AbilityLab","Jan 1, 1970",8,0.4052,0,38,2.63
8f6uz1LKqeU,Investing in Science and Education: An Act of Faith,"Feb 24, 2018",7,1.3173,0,95,2.11
SvfgcvmvFfA,America's Digital Tomorrow - 09.20.12 with Howard Tullman,"Nov 18, 2013",7,0.1405,0,417,0.72
at9i79FQ7zE,"Using Scientific Research to Fix Science Education- Samuel Silverstein, John  C. Dalton","Dec 9, 2011",7,0.084,0,306,0.98
1YW-WqHdjpI,America's Energy Challenge -  Steve Koonin,"Jun 4, 2012",6,2.4908,0,638,0.63
3wnPNAgSDWY,Women in Science Symposium 2012: Session 1 - Game Changers 05/12/12,"Aug 10, 2012",6,0.1565,0,260,0.38
7-oXMUrVBQ0,C2ST: Water - The New Oil 2009 - Debra Shore,"Nov 7, 2013",6,0.7223,0,224,0.45
IlVfqpx52wk,C2ST 2013 Fundraiser: An Evening with the Stars of Science and Technology by Andrea,"Nov 12, 2013",6,0.0521,0,323,1.24
a_FO3w8d60E,Science from the Frontlines: Engineering at the Service of Humanity,"Jul 9, 2020",6,0.0134,0,581,0.69
qBHrktvyQo0,C2ST: Exelon 2020 (2009),"Nov 7, 2013",6,0.0429,0,270,1.11
lMY-AOgXPew,Tesla,"Dec 5, 2011",5,0.0652,0,1309,0.23
vj_y-GvWc4c,Women in STEM: Connect 2015,"Dec 19, 2015",5,0.0211,0,509,0.59
CdcCjeiEtWg,"Mindfulness, Meditation, and Yoga, Q&A","Mar 4, 2019",4,0.1374,0,478,0.21
CoDHab-SqGI,"Women in Science Symposium 2010: Building an Identity - April 17, 2010","Sep 12, 2012",4,0.079,0,252,1.19
FCO7DksLF2A,"C2ST: Women in Science  Symposium: Building an Identity, 2010 Panel Discussion","Nov 7, 2013",4,0.2105,0,793,0.5
odkjchmOBxY,The next Generation of Biomedical Research: Implications for the future of Health care - Mary,"Mar 13, 2013",4,0.2018,0,216,0.46
buYFbvPRvmM,C2ST: Women in Science Symposium: Building an Identity,"Nov 7, 2013",3,0.005,0,178,0
yWzHHz9xSoY,Policy of Obesity 12/1/11,"Feb 10, 2012",3,0.0321,0,223,0.45
BBDwDfETqk4,"The Landscape of Techpark Innovation - Kapila , David , Steve, John  and Jim","Nov 7, 2013",2,0.0035,0,358,0.28
H3ZVLksBgg0,Chicago Council on Science and Technology Winter 2014 Highlights,"Feb 24, 2015",2,0.058,0,111,1.8
IYiw4PyLqTg,Chicago's Water: Protecting Our Precious Resource  10/13/11 - Debra Shore,"Dec 10, 2011",2,0.0004,0,467,0.21
Ozc_WGCcIGY,Chicago Council on Science and Technology Spring 2015 Highlights,"Aug 13, 2015",2,0.0726,0,166,1.2
PnQhLb6EvKw,C2ST: Science In The New Millenium 2008 - Alan Leshner,"Nov 7, 2013",2,0.0115,0,315,0.32
R1Pqri0rTJY,"The Threat of Superbugs - Robert A. Weinstein, Robert S. Daum, Scott Franzblau, and Michael Federle","Apr 29, 2015",,,,1,0
